Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ager:nomsg	m,II,nom,sg	f,III,gen,sg	f,III,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ager:gensg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ager:accsg	m,II,acc,sg	m,II,gen,sg	f,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	m,II,gen,sg	f,II,gen,sg
ager:nompl	m,II,nom,pl	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ager:genpl	m,II,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
ager:accpl	m,II,acc,pl	m,II,gen,pl	m,II,gen,pl	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
agnus:nomsg	m,II,nom,sg	f,III,gen,pl	m,III,gen,sg	m,III,gen,sg	f,II,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	n,III,nom,sg	m,III,gen,pl	m,III,gen,pl
agnus:gensg	m,II,gen,sg	f,III,nom,sg	m,III,gen,sg	f,III,gen,sg	m,III,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,sg	m,III,gen,sg	m,III,gen,pl
agnus:accsg	m,II,acc,sg	f,III,gen,sg	m,III,gen,pl	m,III,gen,pl	m,II,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
agnus:nompl	m,II,nom,pl	f,III,nom,sg	m,III,gen,sg	f,III,gen,sg	m,III,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,sg	m,III,gen,sg	m,III,gen,pl
